number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,444.97076721212795,2026-07-23 14:53:40.981288,2026-07-23 14:54:11.216636,0 days 00:00:30.235348,0.65,0.2904180608409973,0.1205712628744377,512,12,6.009974718380312,450,0.6245760287469893,0.003899318902679121,0.65,40,F4,29.547023299965076,xgb,22914,444.97076721212795,4910,COMPLETE
1,416.3661874155195,2026-07-23 14:54:11.591068,2026-07-23 14:54:23.453918,0 days 00:00:11.862850,0.8,2.1597250932105787,0.01855998084649059,512,5,1.7322667470546256,850,4.17890272377219e-06,0.00490752054869073,0.7,40,F4,11.271571099990979,xgb,22914,416.3661874155195,4910,COMPLETE
2,417.4474945249528,2026-07-23 14:54:23.868398,2026-07-23 14:54:48.503426,0 days 00:00:24.635028,0.6,3.0377242595071916,0.019721610970574007,256,10,4.666963767236923,500,3.425445902633376e-07,4.0276045018932577e-08,0.85,40,F4,24.052189699956216,xgb,22914,417.4474945249528,4910,COMPLETE
3,501.4907025855698,2026-07-23 14:54:48.829951,2026-07-23 14:54:51.008819,0 days 00:00:02.178868,0.8,0.17194260557609198,0.1024932221692416,128,3,3.738105868191796,350,1.527156759251193,2.5522333020957386e-06,0.65,40,F4,1.6480538000469096,xgb,22914,501.4907025855698,4910,COMPLETE
4,413.864129758211,2026-07-23 14:54:51.355508,2026-07-23 14:54:56.930850,0 days 00:00:05.575342,1.0,2.9894998940554256,0.27051668818999286,512,4,10.196967939171484,600,1.9809253750493907,6.65382563621179e-08,1.0,40,F4,4.955699899990577,xgb,22914,413.864129758211,4910,COMPLETE
5,407.7397315324182,2026-07-23 14:54:57.340072,2026-07-23 14:55:02.012058,0 days 00:00:04.671986,0.8,0.7046211248738132,0.16755052359850303,128,5,2.9117010232427414,450,0.16587190283399655,4.936257118809177e-08,0.7,40,F4,4.0901845000335015,xgb,22914,407.7397315324182,4910,COMPLETE
6,495.4777242944543,2026-07-23 14:55:02.421545,2026-07-23 14:55:06.745816,0 days 00:00:04.324271,0.6,1.7923286427213632,0.11069143219393454,128,11,8.880965698768717,100,1.1036250149900698e-07,1.0659844105892708,0.9,40,F4,3.7419280000030994,xgb,22914,495.4777242944543,4910,COMPLETE
7,394.36468386516304,2026-07-23 14:55:07.091632,2026-07-23 14:55:11.257932,0 days 00:00:04.166300,0.8,0.5979712296915085,0.1195960383019184,256,6,6.752761235642017,350,0.02625445968759339,0.11914739662574245,0.95,40,F4,3.636848699999973,xgb,22914,394.36468386516304,4910,COMPLETE
8,409.8975495614927,2026-07-23 14:55:11.696639,2026-07-23 14:55:29.880463,0 days 00:00:18.183824,0.85,1.5717799053816335,0.010903028125370985,512,7,1.3815607382950852,550,0.0003776906385115029,2.762504518478214,0.6,40,F4,17.62738670001272,xgb,22914,409.8975495614927,4910,COMPLETE
9,656.9348630457232,2026-07-23 14:55:30.244039,2026-07-23 14:55:32.083410,0 days 00:00:01.839371,0.95,3.1670187825521174,0.02679156169946617,256,3,1.620890700720353,300,0.6968596391373533,0.29852320381596925,1.0,40,F4,1.3240839999634773,xgb,22914,656.9348630457232,4910,COMPLETE
