number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,419.4362468396375,2026-07-23 14:50:38.121245,2026-07-23 14:51:00.954886,0 days 00:00:22.833641,0.65,0.2904180608409973,0.1205712628744377,512,12,6.009974718380312,450,0.6245760287469893,0.003899318902679121,0.65,32,F2,22.18995809997432,xgb,22914,419.4362468396375,4910,COMPLETE
1,410.20849617199303,2026-07-23 14:51:01.327806,2026-07-23 14:51:10.755588,0 days 00:00:09.427782,0.8,2.1597250932105787,0.01855998084649059,512,5,1.7322667470546256,850,4.17890272377219e-06,0.00490752054869073,0.7,32,F2,8.820801800000481,xgb,22914,410.20849617199303,4910,COMPLETE
2,401.1847156706685,2026-07-23 14:51:11.247495,2026-07-23 14:51:33.688115,0 days 00:00:22.440620,0.6,3.0377242595071916,0.019721610970574007,256,10,4.666963767236923,500,3.425445902633376e-07,4.0276045018932577e-08,0.85,32,F2,21.93559780000942,xgb,22914,401.1847156706685,4910,COMPLETE
3,492.406537772783,2026-07-23 14:51:34.016790,2026-07-23 14:51:35.750947,0 days 00:00:01.734157,0.8,0.17194260557609198,0.1024932221692416,128,3,3.738105868191796,350,1.527156759251193,2.5522333020957386e-06,0.65,32,F2,1.2100165999727324,xgb,22914,492.406537772783,4910,COMPLETE
4,373.024615240284,2026-07-23 14:51:36.072475,2026-07-23 14:51:39.592740,0 days 00:00:03.520265,1.0,2.9894998940554256,0.27051668818999286,512,4,10.196967939171484,600,1.9809253750493907,6.65382563621179e-08,1.0,32,F2,3.052658699976746,xgb,22914,373.024615240284,4910,COMPLETE
5,377.80677267596576,2026-07-23 14:51:39.921298,2026-07-23 14:51:42.801983,0 days 00:00:02.880685,0.8,0.7046211248738132,0.16755052359850303,128,5,2.9117010232427414,450,0.16587190283399655,4.936257118809177e-08,0.7,32,F2,2.3536211000173353,xgb,22914,377.80677267596576,4910,COMPLETE
6,397.62491993281384,2026-07-23 14:51:43.238007,2026-07-23 14:51:46.227744,0 days 00:00:02.989737,0.6,1.7923286427213632,0.11069143219393454,128,11,8.880965698768717,100,1.1036250149900698e-07,1.0659844105892708,0.9,32,F2,2.4253619000082836,xgb,22914,397.62491993281384,4910,COMPLETE
7,362.4178892191397,2026-07-23 14:51:46.582025,2026-07-23 14:51:49.948980,0 days 00:00:03.366955,0.8,0.5979712296915085,0.1195960383019184,256,6,6.752761235642017,350,0.02625445968759339,0.11914739662574245,0.95,32,F2,2.8129936999757774,xgb,22914,362.4178892191397,4910,COMPLETE
8,405.9080051295271,2026-07-23 14:51:50.308602,2026-07-23 14:52:04.695607,0 days 00:00:14.387005,0.85,1.5717799053816335,0.010903028125370985,512,7,1.3815607382950852,550,0.0003776906385115029,2.762504518478214,0.6,32,F2,13.77488959999755,xgb,22914,405.9080051295271,4910,COMPLETE
9,656.2513880962574,2026-07-23 14:52:05.106907,2026-07-23 14:52:06.842654,0 days 00:00:01.735747,0.95,3.1670187825521174,0.02679156169946617,256,3,1.620890700720353,300,0.6968596391373533,0.29852320381596925,1.0,32,F2,1.1302463000174612,xgb,22914,656.2513880962574,4910,COMPLETE
