number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,495.6902005276737,2026-07-23 14:47:24.787628,2026-07-23 14:47:53.289944,0 days 00:00:28.502316,0.65,0.2904180608409973,0.1205712628744377,512,12,6.009974718380312,450,0.6245760287469893,0.003899318902679121,0.65,24,F0,26.679673900012858,xgb,22914,495.6902005276737,4910,COMPLETE
1,515.3539287677637,2026-07-23 14:47:54.298421,2026-07-23 14:48:05.667045,0 days 00:00:11.368624,0.8,2.1597250932105787,0.01855998084649059,512,5,1.7322667470546256,850,4.17890272377219e-06,0.00490752054869073,0.7,24,F0,10.605124699999578,xgb,22914,515.3539287677637,4910,COMPLETE
2,475.1085583154144,2026-07-23 14:48:06.016845,2026-07-23 14:48:25.607468,0 days 00:00:19.590623,0.6,3.0377242595071916,0.019721610970574007,256,10,4.666963767236923,500,3.425445902633376e-07,4.0276045018932577e-08,0.85,24,F0,19.01910490001319,xgb,22914,475.1085583154144,4910,COMPLETE
3,592.5988565989926,2026-07-23 14:48:25.992710,2026-07-23 14:48:27.757019,0 days 00:00:01.764309,0.8,0.17194260557609198,0.1024932221692416,128,3,3.738105868191796,350,1.527156759251193,2.5522333020957386e-06,0.65,24,F0,1.2306620000163093,xgb,22914,592.5988565989926,4910,COMPLETE
4,470.26019429188193,2026-07-23 14:48:28.131545,2026-07-23 14:48:33.010364,0 days 00:00:04.878819,1.0,2.9894998940554256,0.27051668818999286,512,4,10.196967939171484,600,1.9809253750493907,6.65382563621179e-08,1.0,24,F0,4.163228599994909,xgb,22914,470.26019429188193,4910,COMPLETE
5,474.3754291037903,2026-07-23 14:48:33.515499,2026-07-23 14:48:42.068285,0 days 00:00:08.552786,0.8,0.7046211248738132,0.16755052359850303,128,5,2.9117010232427414,450,0.16587190283399655,4.936257118809177e-08,0.7,24,F0,7.910247099993285,xgb,22914,474.3754291037903,4910,COMPLETE
6,518.695236170266,2026-07-23 14:48:42.537921,2026-07-23 14:48:45.833953,0 days 00:00:03.296032,0.6,1.7923286427213632,0.11069143219393454,128,11,8.880965698768717,100,1.1036250149900698e-07,1.0659844105892708,0.9,24,F0,2.698738200007938,xgb,22914,518.695236170266,4910,COMPLETE
7,462.99617975099954,2026-07-23 14:48:46.187110,2026-07-23 14:48:49.773762,0 days 00:00:03.586652,0.8,0.5979712296915085,0.1195960383019184,256,6,6.752761235642017,350,0.02625445968759339,0.11914739662574245,0.95,24,F0,2.966945799998939,xgb,22914,462.99617975099954,4910,COMPLETE
8,500.67387184586545,2026-07-23 14:48:50.126644,2026-07-23 14:49:04.926459,0 days 00:00:14.799815,0.85,1.5717799053816335,0.010903028125370985,512,7,1.3815607382950852,550,0.0003776906385115029,2.762504518478214,0.6,24,F0,14.188083500019275,xgb,22914,500.67387184586545,4910,COMPLETE
9,784.2744540575865,2026-07-23 14:49:05.270606,2026-07-23 14:49:06.900064,0 days 00:00:01.629458,0.95,3.1670187825521174,0.02679156169946617,256,3,1.620890700720353,300,0.6968596391373533,0.29852320381596925,1.0,24,F0,1.0765260999905877,xgb,22914,784.2744540575865,4910,COMPLETE
