number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,390.37169602720815,2026-07-23 14:59:01.207388,2026-07-23 14:59:07.865031,0 days 00:00:06.657643,0.6,0.07661100707771368,127,8,20,0.000602521573620386,750,243,5.360294728728285,0.552807557569426,0.6,0,40,F4,6.058072600048035,lgbm,22914,390.37169602720815,4910,COMPLETE
1,413.5656791986467,2026-07-23 14:59:08.245383,2026-07-23 14:59:13.045822,0 days 00:00:04.800439,0.65,0.02692655251486473,255,7,65,0.0004982752357076451,500,70,0.00042472707398058225,0.0032364259509045684,0.7,5,40,F4,4.242657400027383,lgbm,22914,413.5656791986467,4910,COMPLETE
2,413.39134615977645,2026-07-23 14:59:13.393547,2026-07-23 14:59:16.445308,0 days 00:00:03.051761,0.8,0.26690431824362526,255,3,85,0.0033347927286375843,1000,7,2.039373116525212e-08,2.8682455958475566,0.6,0,40,F4,2.375651399954222,lgbm,22914,413.39134615977645,4910,COMPLETE
3,425.9266751585494,2026-07-23 14:59:16.905391,2026-07-23 14:59:19.802566,0 days 00:00:02.897175,0.65,0.27051668818999286,511,10,80,4.9830438374949075,250,143,2.5529693461039728e-08,1.06146863271886e-05,1.0,1,40,F4,2.354610699985642,lgbm,22914,425.9266751585494,4910,COMPLETE
4,410.02643727606403,2026-07-23 14:59:20.116470,2026-07-23 14:59:24.757343,0 days 00:00:04.640873,0.95,0.016149614799999188,127,7,85,0.0002359137306347715,600,41,0.022999378190815954,0.060327806807000194,1.0,0,40,F4,4.097499899973627,lgbm,22914,410.02643727606403,4910,COMPLETE
5,468.25868455934034,2026-07-23 14:59:25.101602,2026-07-23 14:59:28.726231,0 days 00:00:03.624629,0.8,0.030816017044468066,511,4,10,0.0035884889113862576,650,14,1.1921975182604538e-07,0.04304385504710882,0.7,5,40,F4,3.0148438999895006,lgbm,22914,468.25868455934034,4910,COMPLETE
6,410.6711963096983,2026-07-23 14:59:29.062912,2026-07-23 14:59:45.483659,0 days 00:00:16.420747,0.7,0.010903028125370985,511,9,15,0.00014359718569878106,500,137,4.9368087974032924e-05,0.10651329083276961,0.85,5,40,F4,15.862764700024854,lgbm,22914,410.6711963096983,4910,COMPLETE
7,384.18941465630985,2026-07-23 14:59:45.818395,2026-07-23 14:59:51.824149,0 days 00:00:06.005754,1.0,0.08622121759478739,511,5,90,1.0431827200054888,850,30,7.278322158604965e-06,1.0558354782789508e-07,0.65,0,40,F4,5.388021800026763,lgbm,22914,384.18941465630985,4910,COMPLETE
8,465.18218088226115,2026-07-23 14:59:52.185406,2026-07-23 14:59:54.421380,0 days 00:00:02.235974,0.9,0.04135867955263894,127,15,25,0.0003974905761171869,550,9,1.8735548907110496e-05,10.928845857571751,0.75,0,40,F4,1.6684113999945112,lgbm,22914,465.18218088226115,4910,COMPLETE
9,435.1815641113586,2026-07-23 14:59:54.734639,2026-07-23 14:59:56.304143,0 days 00:00:01.569504,0.8,0.07950609693143304,255,7,55,0.0001808813356570827,100,42,7.427695424061678,1.7838705712297361e-06,0.7,0,40,F4,1.0179177999962121,lgbm,22914,435.1815641113586,4910,COMPLETE
