number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,486.9380786002749,2026-07-23 14:34:18.371917,2026-07-23 14:34:38.256367,0 days 00:00:19.884450,True,squared_error,34,0.5,0.65,6,15,300,34,F3,19.216478700051084,rf,22914,486.9380786002749,4910,COMPLETE
1,733.5406065146902,2026-07-23 14:34:38.669764,2026-07-23 14:34:46.836935,0 days 00:00:08.167171,False,squared_error,10,log2,,6,7,200,34,F3,7.586166099994443,rf,22914,733.5406065146902,4910,COMPLETE
2,487.36170723724666,2026-07-23 14:34:47.263165,2026-07-23 14:35:12.923961,0 days 00:00:25.660796,True,squared_error,23,0.5,0.65,7,2,400,34,F3,24.874472600000445,rf,22914,487.36170723724666,4910,COMPLETE
3,765.2951727010739,2026-07-23 14:35:13.512362,2026-07-23 14:35:57.541935,0 days 00:00:44.029573,True,squared_error,6,1.0,0.85,3,19,400,34,F3,43.232615699991584,rf,22914,765.2951727010739,4910,COMPLETE
4,705.1618594836967,2026-07-23 14:35:58.040609,2026-07-23 14:36:56.416818,0 days 00:00:58.376209,False,friedman_mse,7,0.5,,1,5,650,34,F3,57.57623359997524,rf,22914,705.1618594836967,4910,COMPLETE
5,564.2360388399626,2026-07-23 14:36:56.888748,2026-07-23 14:37:03.537542,0 days 00:00:06.648794,False,friedman_mse,35,sqrt,,2,16,100,34,F3,5.950877099996433,rf,22914,564.2360388399626,4910,COMPLETE
6,420.9180822816713,2026-07-23 14:37:03.970589,2026-07-23 14:38:20.992323,0 days 00:01:17.021734,False,squared_error,15,0.5,,4,3,500,34,F3,76.21520299999975,rf,22914,420.9180822816713,4910,COMPLETE
7,426.72191090614587,2026-07-23 14:38:21.479443,2026-07-23 14:39:51.410592,0 days 00:01:29.931149,False,friedman_mse,20,0.5,,5,11,600,34,F3,88.98956409998937,rf,22914,426.72191090614587,4910,COMPLETE
8,647.5761682258897,2026-07-23 14:39:52.042981,2026-07-23 14:40:08.540973,0 days 00:00:16.497992,True,squared_error,12,sqrt,0.95,3,3,550,34,F3,15.70503870001994,rf,22914,647.5761682258897,4910,COMPLETE
9,604.3960651113466,2026-07-23 14:40:09.023011,2026-07-23 14:40:30.565856,0 days 00:00:21.542845,True,friedman_mse,14,log2,1.0,3,4,650,34,F3,20.729291399999056,rf,22914,604.3960651113466,4910,COMPLETE
