number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_dense_dropout,params_dense_units,params_l2_regularization,params_learning_rate,params_lstm_dropout,params_lstm_layers,params_optimizer,params_static_dense_units,params_units_layer_1,params_units_layer_2,user_attrs_batch_size,user_attrs_best_epoch,user_attrs_best_scaled_val_loss,user_attrs_best_scaled_val_rmse,user_attrs_early_stopping_min_delta,user_attrs_early_stopping_patience,user_attrs_epochs_trained,user_attrs_feature_set,user_attrs_final_training_loss,user_attrs_final_validation_loss,user_attrs_fit_and_predict_seconds,user_attrs_max_epochs,user_attrs_model,user_attrs_restore_best_weights,user_attrs_sequence_feature_count,user_attrs_sequence_feature_names,user_attrs_sequence_input_shape,user_attrs_shuffle,user_attrs_static_feature_count,user_attrs_static_feature_names,user_attrs_test_data_used,user_attrs_timesteps,user_attrs_train_rows,user_attrs_trainable_parameters,user_attrs_uses_static_branch,user_attrs_validation_rmse,user_attrs_validation_rows,user_attrs_x_scaler_fit_on,user_attrs_y_scaler_fit_on,state
0,475.864775146959,2026-07-23 16:39:01.360538,2026-07-23 16:45:25.455599,0 days 00:06:24.095061,64,0.8152843673110735,0.30000000000000004,112,1.2674255898937194e-08,0.0015958573588141277,0.0,1,adam,16,64,,64.0,38.0,0.00656198151409626,0.0810060585024124,1e-05,10.0,48.0,F1,0.012958183884620667,0.007281164173036814,380.76952980004717,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,5.0,"['hour', 'day_of_week', 'month', 'is_weekend', 'is_holiday']",False,24.0,22914.0,26177.0,True,475.864775146959,4910.0,train_only,train_only,COMPLETE
1,572.2884832877103,2026-07-23 16:45:26.098881,2026-07-23 16:56:42.389237,0 days 00:11:16.290356,128,1.9560708142748473,0.1,48,8.431013932082453e-05,0.0005954553793888993,0.0,1,rmsprop,8,160,,128.0,40.0,0.011619752272963524,0.10779495476581231,1e-05,10.0,50.0,F1,0.012716773897409439,0.021139923483133316,673.8114484000253,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,5.0,"['hour', 'day_of_week', 'month', 'is_weekend', 'is_holiday']",False,24.0,22914.0,111889.0,True,572.2884832877103,4910.0,train_only,train_only,COMPLETE
2,564.7140268490239,2026-07-23 16:56:43.026092,2026-07-23 17:17:28.225417,0 days 00:20:45.199325,256,4.057797837985249,0.30000000000000004,16,4.075596440072863e-08,0.0005595074635794797,0.1,2,adam,48,224,64.0,256.0,43.0,0.009252254851162434,0.09618864200706044,1e-05,10.0,53.0,F1,0.06087283417582512,0.012229320593178272,1242.4587530000135,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,5.0,"['hour', 'day_of_week', 'month', 'is_weekend', 'is_holiday']",False,24.0,22914.0,278593.0,True,564.7140268490239,4910.0,train_only,train_only,COMPLETE
3,0.05614737793803215,2026-07-23 17:17:28.917693,2026-07-23 17:20:46.328510,0 days 00:03:17.410817,128,1.0575486010842792,0.2,128,2.7698899227562766e-08,0.0036832964384234204,0.4,2,adam,24,224,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
4,512.7014862324922,2026-07-23 17:20:47.053706,2026-07-23 17:44:31.486220,0 days 00:23:44.432514,32,2.6790275046159313,0.30000000000000004,128,1.0656401760606435e-08,0.00021757649801197563,0.0,1,adam,56,224,,32.0,34.0,0.00761597091332078,0.08726953026870707,1e-05,10.0,44.0,F1,0.011850322596728802,0.009151395410299301,1421.5477733000298,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,5.0,"['hour', 'day_of_week', 'month', 'is_weekend', 'is_holiday']",False,24.0,22914.0,238929.0,True,512.7014862324922,4910.0,train_only,train_only,COMPLETE
5,0.021123988553881645,2026-07-23 17:44:32.082885,2026-07-23 17:46:55.193885,0 days 00:02:23.111000,256,0.6585128442627549,0.1,48,1.540945776288154e-05,0.00173611708903933,0.0,2,adam,56,96,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
6,0.04016357287764549,2026-07-23 17:46:55.998671,2026-07-23 17:47:28.895989,0 days 00:00:32.897318,64,1.2863315666249775,0.30000000000000004,16,3.4902252478382486e-06,0.00034204353211648276,0.0,1,adam,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.14176248013973236,2026-07-23 17:47:29.588646,2026-07-23 17:49:48.225869,0 days 00:02:18.637223,128,3.9360563222625315,0.4,112,0.00029026521418263907,0.00020748033175894872,0.30000000000000004,2,rmsprop,8,224,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.0732928141951561,2026-07-23 17:49:48.959645,2026-07-23 17:50:50.903587,0 days 00:01:01.943942,256,2.5234166438279253,0.0,32,0.0005182609891091995,0.0003746261155838961,0.2,1,rmsprop,24,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,568.3872420243954,2026-07-23 17:50:51.629205,2026-07-23 17:57:55.000471,0 days 00:07:03.371266,32,0.6980151943608436,0.2,80,2.473046721099908e-07,0.00012230968684637632,0.0,1,adam,32,96,,32.0,28.0,0.009387260302901268,0.09688787490135836,1e-05,10.0,38.0,F1,0.01320743840187788,0.010699957609176636,420.34249350003665,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,5.0,"['hour', 'day_of_week', 'month', 'is_weekend', 'is_holiday']",False,24.0,22914.0,48225.0,True,568.3872420243954,4910.0,train_only,train_only,COMPLETE
