number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_dense_dropout,params_dense_units,params_l2_regularization,params_learning_rate,params_lstm_dropout,params_lstm_layers,params_optimizer,params_static_dense_units,params_units_layer_1,params_units_layer_2,user_attrs_batch_size,user_attrs_best_epoch,user_attrs_best_scaled_val_loss,user_attrs_best_scaled_val_rmse,user_attrs_early_stopping_min_delta,user_attrs_early_stopping_patience,user_attrs_epochs_trained,user_attrs_feature_set,user_attrs_final_training_loss,user_attrs_final_validation_loss,user_attrs_fit_and_predict_seconds,user_attrs_max_epochs,user_attrs_model,user_attrs_restore_best_weights,user_attrs_sequence_feature_count,user_attrs_sequence_feature_names,user_attrs_sequence_input_shape,user_attrs_shuffle,user_attrs_static_feature_count,user_attrs_static_feature_names,user_attrs_test_data_used,user_attrs_timesteps,user_attrs_train_rows,user_attrs_trainable_parameters,user_attrs_uses_static_branch,user_attrs_validation_rmse,user_attrs_validation_rows,user_attrs_x_scaler_fit_on,user_attrs_y_scaler_fit_on,state
0,555.0259713061372,2026-07-23 19:32:04.718688,2026-07-23 19:34:30.612445,0 days 00:02:25.893757,64,0.8152843673110735,0.30000000000000004,112,1.2674255898937194e-08,0.0015958573588141277,0.0,1,adam,16,64,,64.0,12.0,0.00892450287938118,0.09446958706049889,1e-05,10.0,22.0,F3,0.014233377762138844,0.010043323040008545,141.82971729995916,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,10.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168']",False,24.0,22914.0,26257.0,True,555.0259713061372,4910.0,train_only,train_only,COMPLETE
1,485.30267274252145,2026-07-23 19:34:31.414631,2026-07-23 19:43:31.018968,0 days 00:08:59.604337,128,1.9560708142748473,0.1,48,8.431013932082453e-05,0.0005954553793888993,0.0,1,rmsprop,8,160,,128.0,36.0,0.009137663058936596,0.09559112437322095,1e-05,10.0,46.0,F3,0.012607377022504807,0.009636628441512585,535.7220433999901,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,10.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168']",False,24.0,22914.0,111929.0,True,485.30267274252145,4910.0,train_only,train_only,COMPLETE
2,566.6934010526396,2026-07-23 19:43:31.936000,2026-07-23 19:55:59.039024,0 days 00:12:27.103024,256,4.057797837985249,0.30000000000000004,16,4.075596440072863e-08,0.0005595074635794797,0.1,2,adam,48,224,64.0,256.0,35.0,0.009317288175225258,0.09652610100498858,1e-05,10.0,45.0,F3,0.06207915022969246,0.012707789428532124,743.3281459000427,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,10.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168']",False,24.0,22914.0,278833.0,True,566.6934010526396,4910.0,train_only,train_only,COMPLETE
3,0.0515735037624836,2026-07-23 19:55:59.901180,2026-07-23 19:58:37.773482,0 days 00:02:37.872302,128,1.0575486010842792,0.2,128,2.7698899227562766e-08,0.0036832964384234204,0.4,2,adam,24,224,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
4,0.01889066770672798,2026-07-23 19:58:38.783040,2026-07-23 20:02:59.928209,0 days 00:04:21.145169,32,2.6790275046159313,0.30000000000000004,128,1.0656401760606435e-08,0.00021757649801197563,0.0,1,adam,56,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
5,0.07212071120738983,2026-07-23 20:03:01.041980,2026-07-23 20:05:09.777009,0 days 00:02:08.735029,256,0.6585128442627549,0.1,48,1.540945776288154e-05,0.00173611708903933,0.0,2,adam,56,96,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
6,0.0317448191344738,2026-07-23 20:05:10.910654,2026-07-23 20:05:50.841389,0 days 00:00:39.930735,64,1.2863315666249775,0.30000000000000004,16,3.4902252478382486e-06,0.00034204353211648276,0.0,1,adam,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.14927831292152405,2026-07-23 20:05:51.817906,2026-07-23 20:08:33.869070,0 days 00:02:42.051164,128,3.9360563222625315,0.4,112,0.00029026521418263907,0.00020748033175894872,0.30000000000000004,2,rmsprop,8,224,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.07753998041152954,2026-07-23 20:08:35.076568,2026-07-23 20:09:52.375934,0 days 00:01:17.299366,256,2.5234166438279253,0.0,32,0.0005182609891091995,0.0003746261155838961,0.2,1,rmsprop,24,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,380.8923024016748,2026-07-23 20:09:53.607120,2026-07-23 20:28:33.406713,0 days 00:18:39.799593,32,0.6980151943608436,0.2,80,2.473046721099908e-07,0.00012230968684637632,0.0,1,adam,32,96,,32.0,97.0,0.0042387256398797035,0.06510549623403314,1e-05,10.0,100.0,F3,0.01065314281731844,0.004375585354864597,1115.3866815000074,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,10.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday', 'load_lag_48', 'load_lag_168']",False,24.0,22914.0,48385.0,True,380.8923024016748,4910.0,train_only,train_only,COMPLETE
