number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,468.02282223567084,2026-07-23 14:55:33.029274,2026-07-23 14:55:38.183216,0 days 00:00:05.153942,0.6,0.07661100707771368,127,8,20,0.000602521573620386,750,243,5.360294728728285,0.552807557569426,0.6,0,24,F0,4.5397842999664135,lgbm,22914,468.02282223567084,4910,COMPLETE
1,500.5121001485089,2026-07-23 14:55:38.533623,2026-07-23 14:55:42.275274,0 days 00:00:03.741651,0.65,0.02692655251486473,255,7,65,0.0004982752357076451,500,70,0.00042472707398058225,0.0032364259509045684,0.7,5,24,F0,3.16836070001591,lgbm,22914,500.5121001485089,4910,COMPLETE
2,475.09411614693823,2026-07-23 14:55:42.600699,2026-07-23 14:55:44.740051,0 days 00:00:02.139352,0.8,0.26690431824362526,255,3,85,0.0033347927286375843,1000,7,2.039373116525212e-08,2.8682455958475566,0.6,0,24,F0,1.5348509000032209,lgbm,22914,475.09411614693823,4910,COMPLETE
3,522.4648633517838,2026-07-23 14:55:45.061869,2026-07-23 14:55:47.774517,0 days 00:00:02.712648,0.65,0.27051668818999286,511,10,80,4.9830438374949075,250,143,2.5529693461039728e-08,1.06146863271886e-05,1.0,1,24,F0,2.137548099970445,lgbm,22914,522.4648633517838,4910,COMPLETE
4,508.5873598982065,2026-07-23 14:55:48.108448,2026-07-23 14:55:52.061900,0 days 00:00:03.953452,0.95,0.016149614799999188,127,7,85,0.0002359137306347715,600,41,0.022999378190815954,0.060327806807000194,1.0,0,24,F0,3.3975061000091955,lgbm,22914,508.5873598982065,4910,COMPLETE
5,567.2470687000142,2026-07-23 14:55:52.405092,2026-07-23 14:55:55.347152,0 days 00:00:02.942060,0.8,0.030816017044468066,511,4,10,0.0035884889113862576,650,14,1.1921975182604538e-07,0.04304385504710882,0.7,5,24,F0,2.3814064000034705,lgbm,22914,567.2470687000142,4910,COMPLETE
6,490.43047705088503,2026-07-23 14:55:55.686055,2026-07-23 14:56:11.000025,0 days 00:00:15.313970,0.7,0.010903028125370985,511,9,15,0.00014359718569878106,500,137,4.9368087974032924e-05,0.10651329083276961,0.85,5,24,F0,14.712234999984503,lgbm,22914,490.43047705088503,4910,COMPLETE
7,455.5563610347718,2026-07-23 14:56:11.420276,2026-07-23 14:56:15.624663,0 days 00:00:04.204387,1.0,0.08622121759478739,511,5,90,1.0431827200054888,850,30,7.278322158604965e-06,1.0558354782789508e-07,0.65,0,24,F0,3.6309470999985933,lgbm,22914,455.5563610347718,4910,COMPLETE
8,581.3470222589706,2026-07-23 14:56:15.968757,2026-07-23 14:56:17.919471,0 days 00:00:01.950714,0.9,0.04135867955263894,127,15,25,0.0003974905761171869,550,9,1.8735548907110496e-05,10.928845857571751,0.75,0,24,F0,1.3627829000470228,lgbm,22914,581.3470222589706,4910,COMPLETE
9,567.6584306168822,2026-07-23 14:56:18.241218,2026-07-23 14:56:19.632278,0 days 00:00:01.391060,0.8,0.07950609693143304,255,7,55,0.0001808813356570827,100,42,7.427695424061678,1.7838705712297361e-06,0.7,0,24,F0,0.8564802000182681,lgbm,22914,567.6584306168822,4910,COMPLETE
