number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clipnorm,params_dense_dropout,params_dense_units,params_l2_regularization,params_learning_rate,params_lstm_dropout,params_lstm_layers,params_optimizer,params_static_dense_units,params_units_layer_1,params_units_layer_2,user_attrs_batch_size,user_attrs_best_epoch,user_attrs_best_scaled_val_loss,user_attrs_best_scaled_val_rmse,user_attrs_early_stopping_min_delta,user_attrs_early_stopping_patience,user_attrs_epochs_trained,user_attrs_feature_set,user_attrs_final_training_loss,user_attrs_final_validation_loss,user_attrs_fit_and_predict_seconds,user_attrs_max_epochs,user_attrs_model,user_attrs_restore_best_weights,user_attrs_sequence_feature_count,user_attrs_sequence_feature_names,user_attrs_sequence_input_shape,user_attrs_shuffle,user_attrs_static_feature_count,user_attrs_static_feature_names,user_attrs_test_data_used,user_attrs_timesteps,user_attrs_train_rows,user_attrs_trainable_parameters,user_attrs_uses_static_branch,user_attrs_validation_rmse,user_attrs_validation_rows,user_attrs_x_scaler_fit_on,user_attrs_y_scaler_fit_on,state
0,436.75500305375846,2026-07-23 17:57:56.890493,2026-07-23 18:01:56.446564,0 days 00:03:59.556071,64,0.8152843673110735,0.30000000000000004,112,1.2674255898937194e-08,0.0015958573588141277,0.0,1,adam,16,64,,64.0,29.0,0.005527842789888382,0.07434946395158731,1e-05,10.0,39.0,F2,0.012983717955648899,0.005604347214102745,236.57919710001443,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,8.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday']",False,24.0,22914.0,26225.0,True,436.75500305375846,4910.0,train_only,train_only,COMPLETE
1,467.1110435863869,2026-07-23 18:01:57.103925,2026-07-23 18:11:08.666565,0 days 00:09:11.562640,128,1.9560708142748473,0.1,48,8.431013932082453e-05,0.0005954553793888993,0.0,1,rmsprop,8,160,,128.0,40.0,0.008423763327300549,0.09178106192075002,1e-05,10.0,50.0,F2,0.012173846364021301,0.010274668224155903,548.5922673000023,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,8.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday']",False,24.0,22914.0,111913.0,True,467.1110435863869,4910.0,train_only,train_only,COMPLETE
2,584.7231693456193,2026-07-23 18:11:09.424666,2026-07-23 18:28:21.199257,0 days 00:17:11.774591,256,4.057797837985249,0.30000000000000004,16,4.075596440072863e-08,0.0005595074635794797,0.1,2,adam,48,224,64.0,256.0,45.0,0.009918643161654472,0.09959238505856997,1e-05,10.0,55.0,F2,0.06029880791902542,0.010681310668587685,1028.5343409000197,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,8.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday']",False,24.0,22914.0,278737.0,True,584.7231693456193,4910.0,train_only,train_only,COMPLETE
3,0.020381737500429153,2026-07-23 18:28:21.984323,2026-07-23 18:42:37.324984,0 days 00:14:15.340661,128,1.0575486010842792,0.2,128,2.7698899227562766e-08,0.0036832964384234204,0.4,2,adam,24,224,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
4,433.6289395219055,2026-07-23 18:42:38.186151,2026-07-23 19:06:29.060254,0 days 00:23:50.874103,32,2.6790275046159313,0.30000000000000004,128,1.0656401760606435e-08,0.00021757649801197563,0.0,1,adam,56,224,,32.0,34.0,0.005448862444609404,0.07381641040181651,1e-05,10.0,44.0,F2,0.011076885275542736,0.005882506258785725,1427.3017916999524,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,8.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday']",False,24.0,22914.0,239097.0,True,433.6289395219055,4910.0,train_only,train_only,COMPLETE
5,0.25660526752471924,2026-07-23 19:06:29.926690,2026-07-23 19:08:23.495517,0 days 00:01:53.568827,256,0.6585128442627549,0.1,48,1.540945776288154e-05,0.00173611708903933,0.0,2,adam,56,96,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
6,0.029664861038327217,2026-07-23 19:08:24.570384,2026-07-23 19:08:58.320289,0 days 00:00:33.749905,64,1.2863315666249775,0.30000000000000004,16,3.4902252478382486e-06,0.00034204353211648276,0.0,1,adam,56,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
7,0.14349593222141266,2026-07-23 19:08:59.185577,2026-07-23 19:11:26.160138,0 days 00:02:26.974561,128,3.9360563222625315,0.4,112,0.00029026521418263907,0.00020748033175894872,0.30000000000000004,2,rmsprop,8,224,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
8,0.07770433276891708,2026-07-23 19:11:27.246599,2026-07-23 19:12:35.090999,0 days 00:01:07.844400,256,2.5234166438279253,0.0,32,0.0005182609891091995,0.0003746261155838961,0.2,1,rmsprop,24,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRUNED
9,359.0985779911578,2026-07-23 19:12:36.116890,2026-07-23 19:32:02.493009,0 days 00:19:26.376119,32,0.6980151943608436,0.2,80,2.473046721099908e-07,0.00012230968684637632,0.0,1,adam,32,96,,32.0,100.0,0.0037709870375692844,0.061408362928588846,1e-05,10.0,100.0,F2,0.010194666683673859,0.0037709870375692844,1162.7339503999683,100.0,lstm,True,24.0,"['load_lag_23', 'load_lag_22', 'load_lag_21', 'load_lag_20', 'load_lag_19', 'load_lag_18', 'load_lag_17', 'load_lag_16', 'load_lag_15', 'load_lag_14', 'load_lag_13', 'load_lag_12', 'load_lag_11', 'load_lag_10', 'load_lag_9', 'load_lag_8', 'load_lag_7', 'load_lag_6', 'load_lag_5', 'load_lag_4', 'load_lag_3', 'load_lag_2', 'load_lag_1', 'load_lag_0']","[24, 1]",False,8.0,"['hour_sin', 'hour_cos', 'weekday_sin', 'weekday_cos', 'month_sin', 'month_cos', 'is_weekend', 'is_holiday']",False,24.0,22914.0,48321.0,True,359.0985779911578,4910.0,train_only,train_only,COMPLETE
