number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,404.77107325334,2026-07-23 14:58:07.524258,2026-07-23 14:58:14.948604,0 days 00:00:07.424346,0.6,0.07661100707771368,127,8,20,0.000602521573620386,750,243,5.360294728728285,0.552807557569426,0.6,0,34,F3,6.745460900012404,lgbm,22914,404.77107325334,4910,COMPLETE
1,425.5530166346791,2026-07-23 14:58:15.393359,2026-07-23 14:58:20.405794,0 days 00:00:05.012435,0.65,0.02692655251486473,255,7,65,0.0004982752357076451,500,70,0.00042472707398058225,0.0032364259509045684,0.7,5,34,F3,4.4367247999762185,lgbm,22914,425.5530166346791,4910,COMPLETE
2,393.79112958985087,2026-07-23 14:58:20.726844,2026-07-23 14:58:23.396813,0 days 00:00:02.669969,0.8,0.26690431824362526,255,3,85,0.0033347927286375843,1000,7,2.039373116525212e-08,2.8682455958475566,0.6,0,34,F3,2.0949001999688335,lgbm,22914,393.79112958985087,4910,COMPLETE
3,428.3501998710222,2026-07-23 14:58:23.781786,2026-07-23 14:58:26.475997,0 days 00:00:02.694211,0.65,0.27051668818999286,511,10,80,4.9830438374949075,250,143,2.5529693461039728e-08,1.06146863271886e-05,1.0,1,34,F3,2.1378093999810517,lgbm,22914,428.3501998710222,4910,COMPLETE
4,411.6552556886907,2026-07-23 14:58:26.802924,2026-07-23 14:58:32.415681,0 days 00:00:05.612757,0.95,0.016149614799999188,127,7,85,0.0002359137306347715,600,41,0.022999378190815954,0.060327806807000194,1.0,0,34,F3,5.022157600033097,lgbm,22914,411.6552556886907,4910,COMPLETE
5,476.3044459988593,2026-07-23 14:58:32.781302,2026-07-23 14:58:36.376272,0 days 00:00:03.594970,0.8,0.030816017044468066,511,4,10,0.0035884889113862576,650,14,1.1921975182604538e-07,0.04304385504710882,0.7,5,34,F3,3.016504500003066,lgbm,22914,476.3044459988593,4910,COMPLETE
6,425.18522654166856,2026-07-23 14:58:36.701541,2026-07-23 14:58:51.384982,0 days 00:00:14.683441,0.7,0.010903028125370985,511,9,15,0.00014359718569878106,500,137,4.9368087974032924e-05,0.10651329083276961,0.85,5,34,F3,14.136251699994318,lgbm,22914,425.18522654166856,4910,COMPLETE
7,371.9556718616824,2026-07-23 14:58:51.709364,2026-07-23 14:58:56.052615,0 days 00:00:04.343251,1.0,0.08622121759478739,511,5,90,1.0431827200054888,850,30,7.278322158604965e-06,1.0558354782789508e-07,0.65,0,34,F3,3.729532899975311,lgbm,22914,371.9556718616824,4910,COMPLETE
8,464.1999539560504,2026-07-23 14:58:56.395997,2026-07-23 14:58:58.572073,0 days 00:00:02.176076,0.9,0.04135867955263894,127,15,25,0.0003974905761171869,550,9,1.8735548907110496e-05,10.928845857571751,0.75,0,34,F3,1.6401272999937646,lgbm,22914,464.1999539560504,4910,COMPLETE
9,462.5201300821827,2026-07-23 14:58:58.906148,2026-07-23 14:59:00.307221,0 days 00:00:01.401073,0.8,0.07950609693143304,255,7,55,0.0001808813356570827,100,42,7.427695424061678,1.7838705712297361e-06,0.7,0,34,F3,0.8004807999823242,lgbm,22914,462.5201300821827,4910,COMPLETE
