number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,482.73091756120954,2026-07-23 14:28:41.012452,2026-07-23 14:29:01.414077,0 days 00:00:20.401625,True,squared_error,34,0.5,0.65,6,15,300,32,F2,19.642745700024534,rf,22914,482.73091756120954,4910,COMPLETE
1,701.1113777725238,2026-07-23 14:29:02.212916,2026-07-23 14:29:10.621378,0 days 00:00:08.408462,False,squared_error,10,log2,,6,7,200,32,F2,7.75060220004525,rf,22914,701.1113777725238,4910,COMPLETE
2,487.4310529182692,2026-07-23 14:29:11.111348,2026-07-23 14:29:38.079038,0 days 00:00:26.967690,True,squared_error,23,0.5,0.65,7,2,400,32,F2,26.211186299973633,rf,22914,487.4310529182692,4910,COMPLETE
3,765.2976860652399,2026-07-23 14:29:38.559431,2026-07-23 14:30:12.723499,0 days 00:00:34.164068,True,squared_error,6,1.0,0.85,3,19,400,32,F2,33.51955399999861,rf,22914,765.2976860652399,4910,COMPLETE
4,701.8007690544405,2026-07-23 14:30:13.121430,2026-07-23 14:31:04.096170,0 days 00:00:50.974740,False,friedman_mse,7,0.5,,1,5,650,32,F2,50.27232889999868,rf,22914,701.8007690544405,4910,COMPLETE
5,542.4276397833071,2026-07-23 14:31:04.533724,2026-07-23 14:31:10.362072,0 days 00:00:05.828348,False,friedman_mse,35,sqrt,,2,16,100,32,F2,5.205196499999147,rf,22914,542.4276397833071,4910,COMPLETE
6,419.9746342930532,2026-07-23 14:31:10.761721,2026-07-23 14:32:22.492776,0 days 00:01:11.731055,False,squared_error,15,0.5,,4,3,500,32,F2,71.02531239995733,rf,22914,419.9746342930532,4910,COMPLETE
7,424.26090493200957,2026-07-23 14:32:22.963781,2026-07-23 14:33:39.789776,0 days 00:01:16.825995,False,friedman_mse,20,0.5,,5,11,600,32,F2,76.00671220000368,rf,22914,424.26090493200957,4910,COMPLETE
8,616.7428415345911,2026-07-23 14:33:40.303596,2026-07-23 14:33:56.449826,0 days 00:00:16.146230,True,squared_error,12,sqrt,0.95,3,3,550,32,F2,15.430994399997871,rf,22914,616.7428415345911,4910,COMPLETE
9,577.7747147306085,2026-07-23 14:33:56.884421,2026-07-23 14:34:17.127623,0 days 00:00:20.243202,True,friedman_mse,14,log2,1.0,3,4,650,32,F2,19.39137510000728,rf,22914,577.7747147306085,4910,COMPLETE
