number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_bin,params_max_depth,params_min_child_samples,params_min_child_weight,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,params_subsample_freq,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,391.5012881818616,2026-07-23 14:57:13.356455,2026-07-23 14:57:19.908907,0 days 00:00:06.552452,0.6,0.07661100707771368,127,8,20,0.000602521573620386,750,243,5.360294728728285,0.552807557569426,0.6,0,32,F2,5.924392100016121,lgbm,22914,391.5012881818616,4910,COMPLETE
1,415.265265595676,2026-07-23 14:57:20.320454,2026-07-23 14:57:24.503605,0 days 00:00:04.183151,0.65,0.02692655251486473,255,7,65,0.0004982752357076451,500,70,0.00042472707398058225,0.0032364259509045684,0.7,5,32,F2,3.6119179000379518,lgbm,22914,415.265265595676,4910,COMPLETE
2,387.7195726674954,2026-07-23 14:57:24.842743,2026-07-23 14:57:27.998521,0 days 00:00:03.155778,0.8,0.26690431824362526,255,3,85,0.0033347927286375843,1000,7,2.039373116525212e-08,2.8682455958475566,0.6,0,32,F2,2.600889900000766,lgbm,22914,387.7195726674954,4910,COMPLETE
3,458.95548682880997,2026-07-23 14:57:28.389130,2026-07-23 14:57:31.511398,0 days 00:00:03.122268,0.65,0.27051668818999286,511,10,80,4.9830438374949075,250,143,2.5529693461039728e-08,1.06146863271886e-05,1.0,1,32,F2,2.508267799974419,lgbm,22914,458.95548682880997,4910,COMPLETE
4,417.1013169132669,2026-07-23 14:57:31.999326,2026-07-23 14:57:37.461428,0 days 00:00:05.462102,0.95,0.016149614799999188,127,7,85,0.0002359137306347715,600,41,0.022999378190815954,0.060327806807000194,1.0,0,32,F2,4.843562800029758,lgbm,22914,417.1013169132669,4910,COMPLETE
5,464.03383009238394,2026-07-23 14:57:37.805054,2026-07-23 14:57:40.961796,0 days 00:00:03.156742,0.8,0.030816017044468066,511,4,10,0.0035884889113862576,650,14,1.1921975182604538e-07,0.04304385504710882,0.7,5,32,F2,2.5918415000196546,lgbm,22914,464.03383009238394,4910,COMPLETE
6,421.9524592692562,2026-07-23 14:57:41.327974,2026-07-23 14:57:54.014846,0 days 00:00:12.686872,0.7,0.010903028125370985,511,9,15,0.00014359718569878106,500,137,4.9368087974032924e-05,0.10651329083276961,0.85,5,32,F2,12.161195599997882,lgbm,22914,421.9524592692562,4910,COMPLETE
7,370.25631129528733,2026-07-23 14:57:54.343586,2026-07-23 14:57:59.903394,0 days 00:00:05.559808,1.0,0.08622121759478739,511,5,90,1.0431827200054888,850,30,7.278322158604965e-06,1.0558354782789508e-07,0.65,0,32,F2,4.894848799973261,lgbm,22914,370.25631129528733,4910,COMPLETE
8,470.1314922558891,2026-07-23 14:58:00.309008,2026-07-23 14:58:03.709192,0 days 00:00:03.400184,0.9,0.04135867955263894,127,15,25,0.0003974905761171869,550,9,1.8735548907110496e-05,10.928845857571751,0.75,0,32,F2,2.7590377000160515,lgbm,22914,470.1314922558891,4910,COMPLETE
9,441.04320706738173,2026-07-23 14:58:04.068649,2026-07-23 14:58:06.348743,0 days 00:00:02.280094,0.8,0.07950609693143304,255,7,55,0.0001808813356570827,100,42,7.427695424061678,1.7838705712297361e-06,0.7,0,32,F2,1.5392829000484198,lgbm,22914,441.04320706738173,4910,COMPLETE
