number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_max_samples,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,495.59857970026593,2026-07-23 14:23:19.101826,2026-07-23 14:23:35.443122,0 days 00:00:16.341296,True,squared_error,34,0.5,0.65,6,15,300,29,F1,15.672894899966195,rf,22914,495.59857970026593,4910,COMPLETE
1,771.8954450659506,2026-07-23 14:23:35.816378,2026-07-23 14:23:41.860439,0 days 00:00:06.044061,False,squared_error,10,log2,,6,7,200,29,F1,5.498840100015514,rf,22914,771.8954450659506,4910,COMPLETE
2,496.7306954137496,2026-07-23 14:23:42.205957,2026-07-23 14:24:01.874163,0 days 00:00:19.668206,True,squared_error,23,0.5,0.65,7,2,400,29,F1,19.16669450001791,rf,22914,496.7306954137496,4910,COMPLETE
3,784.7995587537564,2026-07-23 14:24:02.191621,2026-07-23 14:24:31.068805,0 days 00:00:28.877184,True,squared_error,6,1.0,0.85,3,19,400,29,F1,28.317483499995433,rf,22914,784.7995587537564,4910,COMPLETE
4,726.7863977422575,2026-07-23 14:24:31.454716,2026-07-23 14:25:20.772857,0 days 00:00:49.318141,False,friedman_mse,7,0.5,,1,5,650,29,F1,48.59468589996686,rf,22914,726.7863977422575,4910,COMPLETE
5,554.2723754560667,2026-07-23 14:25:21.392251,2026-07-23 14:25:28.274691,0 days 00:00:06.882440,False,friedman_mse,35,sqrt,,2,16,100,29,F1,6.053050499991514,rf,22914,554.2723754560667,4910,COMPLETE
6,434.45745364140015,2026-07-23 14:25:28.731962,2026-07-23 14:26:35.569298,0 days 00:01:06.837336,False,squared_error,15,0.5,,4,3,500,29,F1,66.06744199997047,rf,22914,434.45745364140015,4910,COMPLETE
7,437.23667433817457,2026-07-23 14:26:36.066565,2026-07-23 14:28:01.271174,0 days 00:01:25.204609,False,friedman_mse,20,0.5,,5,11,600,29,F1,84.38487139996141,rf,22914,437.23667433817457,4910,COMPLETE
8,623.5879874079853,2026-07-23 14:28:01.761707,2026-07-23 14:28:20.067054,0 days 00:00:18.305347,True,squared_error,12,sqrt,0.95,3,3,550,29,F1,17.39584230002947,rf,22914,623.5879874079853,4910,COMPLETE
9,630.6700911014656,2026-07-23 14:28:20.586205,2026-07-23 14:28:39.794278,0 days 00:00:19.208073,True,friedman_mse,14,log2,1.0,3,4,650,29,F1,18.40453370002797,rf,22914,630.6700911014656,4910,COMPLETE
