number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_bin,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_feature_count,user_attrs_feature_set,user_attrs_fit_and_predict_seconds,user_attrs_model,user_attrs_train_rows,user_attrs_validation_rmse,user_attrs_validation_rows,state
0,404.40690574799976,2026-07-23 14:52:07.771677,2026-07-23 14:52:31.945257,0 days 00:00:24.173580,0.65,0.2904180608409973,0.1205712628744377,512,12,6.009974718380312,450,0.6245760287469893,0.003899318902679121,0.65,34,F3,23.555874200013932,xgb,22914,404.40690574799976,4910,COMPLETE
1,414.3629478130832,2026-07-23 14:52:32.320432,2026-07-23 14:52:42.018890,0 days 00:00:09.698458,0.8,2.1597250932105787,0.01855998084649059,512,5,1.7322667470546256,850,4.17890272377219e-06,0.00490752054869073,0.7,34,F3,8.945912599971052,xgb,22914,414.3629478130832,4910,COMPLETE
2,408.61260174874116,2026-07-23 14:52:42.375890,2026-07-23 14:53:04.176674,0 days 00:00:21.800784,0.6,3.0377242595071916,0.019721610970574007,256,10,4.666963767236923,500,3.425445902633376e-07,4.0276045018932577e-08,0.85,34,F3,21.25031640002271,xgb,22914,408.61260174874116,4910,COMPLETE
3,479.61087733829356,2026-07-23 14:53:04.528846,2026-07-23 14:53:06.586081,0 days 00:00:02.057235,0.8,0.17194260557609198,0.1024932221692416,128,3,3.738105868191796,350,1.527156759251193,2.5522333020957386e-06,0.65,34,F3,1.5065967999980785,xgb,22914,479.61087733829356,4910,COMPLETE
4,379.204468896506,2026-07-23 14:53:06.907664,2026-07-23 14:53:11.980722,0 days 00:00:05.073058,1.0,2.9894998940554256,0.27051668818999286,512,4,10.196967939171484,600,1.9809253750493907,6.65382563621179e-08,1.0,34,F3,4.468129399989266,xgb,22914,379.204468896506,4910,COMPLETE
5,376.84820983637627,2026-07-23 14:53:12.334604,2026-07-23 14:53:15.123336,0 days 00:00:02.788732,0.8,0.7046211248738132,0.16755052359850303,128,5,2.9117010232427414,450,0.16587190283399655,4.936257118809177e-08,0.7,34,F3,2.225741400034167,xgb,22914,376.84820983637627,4910,COMPLETE
6,434.74069800673766,2026-07-23 14:53:15.528859,2026-07-23 14:53:18.738874,0 days 00:00:03.210015,0.6,1.7923286427213632,0.11069143219393454,128,11,8.880965698768717,100,1.1036250149900698e-07,1.0659844105892708,0.9,34,F3,2.656098200008273,xgb,22914,434.74069800673766,4910,COMPLETE
7,366.17155067974585,2026-07-23 14:53:19.075427,2026-07-23 14:53:22.565509,0 days 00:00:03.490082,0.8,0.5979712296915085,0.1195960383019184,256,6,6.752761235642017,350,0.02625445968759339,0.11914739662574245,0.95,34,F3,2.9698873999877833,xgb,22914,366.17155067974585,4910,COMPLETE
8,413.60263286436486,2026-07-23 14:53:23.011094,2026-07-23 14:53:37.967398,0 days 00:00:14.956304,0.85,1.5717799053816335,0.010903028125370985,512,7,1.3815607382950852,550,0.0003776906385115029,2.762504518478214,0.6,34,F3,14.420360800053459,xgb,22914,413.60263286436486,4910,COMPLETE
9,651.6189133454974,2026-07-23 14:53:38.295489,2026-07-23 14:53:40.029494,0 days 00:00:01.734005,0.95,3.1670187825521174,0.02679156169946617,256,3,1.620890700720353,300,0.6968596391373533,0.29852320381596925,1.0,34,F3,1.2012034999788739,xgb,22914,651.6189133454974,4910,COMPLETE
