model,feature_set,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,mape_mean,mape_std,r2_mean,r2_std,training_time_mean,training_time_std,inference_time_mean,inference_time_std,pareto_efficient,multiobjective_pareto_efficient,rmse_normalized,cost_normalized,tradeoff_distance
XGB,F1,3,459.71680400,8.19082029,293.07572000,7.86673956,0.90835533,0.02623088,0.99523300,0.00017008,2.03939933,0.16494955,0.01285767,0.00027048,True,True,0.04561783,0.00000000,0.03225667
LSTM,F1,3,425.61365733,42.42175368,318.09581133,39.28970544,1.06270567,0.15208881,0.99588800,0.00082524,413.23553067,30.40774804,1.05506933,0.01295333,True,True,0.03245179,0.43309609,0.30710368
LSTM,F3,3,357.63888667,34.79884599,262.51059933,22.19834380,0.84705467,0.05705639,0.99709733,0.00056844,1034.78580767,10.30436573,1.49730633,0.01268225,True,True,0.00620911,0.61686981,0.43621492
LSTM,F2,3,341.55581067,9.98245423,254.04239633,6.39445746,0.83464100,0.01865138,0.99736767,0.00015497,1026.48838733,11.03744971,1.49923400,0.02565424,True,True,0.00000000,0.61767086,0.43675925
