model,baseline,final_feature_set,rmse_baseline,rmse_final,delta_rmse,improvement_percent
RF,F0,F4,503.535887,467.464798,36.071089,7.163559
XGB,F0,F4,513.466500,505.952732,7.513768,1.463341
LGBM,F0,F4,523.747124,520.307638,3.439486,0.656707
LSTM,F0,F4,2931.793125,398.823615,2532.969510,86.396598
