model,feature_set,seed,rmse,mae,mape,r2,training_time,inference_time,mean_error,residual_std,n_test_samples,mape_valid_samples,dropped_rows,prediction_file,metadata_file
XGB,F2,84,456.557792,292.042303,0.907419,0.995299,1.921124,0.014076,28.880457,455.689829,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F2_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F2_seed84.json
XGB,F2,168,482.065490,305.595865,0.945131,0.994759,1.950717,0.013584,32.643727,481.007937,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F2_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F2_seed168.json
XGB,F3,42,464.371401,286.386607,0.881814,0.995137,2.026368,0.016064,35.471424,463.061808,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F3_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F3_seed42.json
XGB,F3,84,491.684285,305.586946,0.940944,0.994548,2.051405,0.014019,40.660194,490.050084,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F3_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F3_seed84.json
XGB,F3,168,500.020263,307.468212,0.945641,0.994362,1.970354,0.013080,37.593121,498.655847,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F3_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F3_seed168.json
XGB,F4,42,514.005241,314.961850,0.966154,0.994042,2.399533,0.021977,51.670095,511.453668,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F4_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F4_seed42.json
XGB,F4,84,499.497847,303.556466,0.930132,0.994374,2.600454,0.021062,49.887739,497.050923,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F4_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F4_seed84.json
XGB,F4,168,504.355107,307.842316,0.943718,0.994264,2.836107,0.014239,47.540703,502.160634,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\XGB_F4_seed168.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\XGB_F4_seed168.json
LGBM,F0,42,523.747124,339.520157,1.069726,0.993814,2.289893,0.061762,17.138097,523.519955,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F0_seed42.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F0_seed42.json
LGBM,F0,84,523.747124,339.520157,1.069726,0.993814,2.327101,0.083967,17.138097,523.519955,4911,4911,0,C:\Users\hangn\Downloads\archive (1)\outputs\predictions\LGBM_F0_seed84.csv,C:\Users\hangn\Downloads\archive (1)\outputs\metadata\LGBM_F0_seed84.json
