model,feature_set,rmse_mean,rmse_std,mae_mean,mae_std,mape_percent_mean,mape_percent_std,smape_percent_mean,smape_percent_std,r2_mean,r2_std,training_seconds_mean,training_seconds_std,inference_seconds_mean,inference_seconds_std,inference_ms_per_sample_mean,inference_ms_per_sample_std
LGBM,F0,523.7471236330522,0.0,339.5201574242136,0.0,1.0697261035035739,0.0,1.070652165794347,0.0,0.9938139804969729,0.0,2.358994700014591,0.08942195953067292,0.073111166653689,0.011110644066804861,0.014887225952695786,0.002262399524904268
LGBM,F1,463.0962907296166,0.0,288.698240973737,0.0,0.893728933564292,0.0,0.8948469991166629,0.0,0.9951637294512401,0.0,2.4284311333321966,0.1178002126849257,0.06612736665798973,0.0017944614396018478,0.013465153055994649,0.00036539634282261257
LGBM,F2,470.9012415703059,0.0,289.16521749004033,0.0,0.8899445903547768,0.0,0.8912483902495202,0.0,0.9949993362381336,0.0,2.738938133329308,0.17835113746504594,0.07963443334059168,0.014406390956797232,0.016215522977110913,0.002933494391528656
LGBM,F3,490.672042848197,0.0,288.92341056094097,0.0,0.8851162868919645,0.0,0.8870318890652359,0.0,0.994570615350923,0.0,3.1758557333184094,0.07354863890795096,0.08658149999488766,0.009531990992664725,0.017630116064933348,0.0019409470561320987
LGBM,F4,520.3076379827711,0.0,296.81028007809994,0.0,0.9029575272094933,0.0,0.9057517586806184,0.0,0.9938949618005478,0.0,3.706941533348678,0.3469186320178631,0.08373976667644456,0.005071204293454636,0.01705146949225098,0.0010326215217785852
LSTM,F0,2931.7931227690037,37.46790223205442,2249.941408503657,48.61947630470088,7.210309082042772,0.19404622625564055,7.191170612176175,0.17788347620790174,0.8061428108023351,0.004936878975097689,629.2313679666646,248.75292099661394,2.1134558333239206,0.08388667768147554,0.43035142197595616,0.01708138417460304
LSTM,F1,425.6136540700852,42.421763070099125,318.09580361157776,39.28971299958793,1.0627057618842797,0.15208897291784426,1.0592993570631226,0.14717952214961852,0.9958878784966275,0.0008250305143198039,413.2355307999921,30.407748135459904,1.0550692666632433,0.012953345137167905,0.21483796918412612,0.0026376186392115396
LSTM,F2,341.55581298684154,9.98246154947949,254.04239751429614,6.394460486740303,0.8346408804996165,0.018651144298220776,0.833710441053892,0.018431280651479785,0.9973676805864619,0.00015485671361200178,1026.4883873333067,11.0374499401521,1.4992340000074666,0.025654265468110463,0.30528079820962467,0.005223837399330187
LSTM,F3,357.6388839060328,34.79884353471324,262.5105973569113,22.198338889108392,0.8470547987002338,0.05705663034042407,0.8472872588174333,0.05797135438853068,0.9970973813389062,0.0005682702976181329,1034.7858074666776,10.304365998834228,1.4973061999965769,0.012682272272508451,0.3048882508647072,0.002582421558238294
LSTM,F4,398.8236204484272,62.81132484795536,291.82454619307,43.324363668539974,0.9434344413889612,0.12910687570927806,0.944189731282928,0.1311423853038104,0.9963537002560271,0.001131986754845023,1884.0302753333428,502.1816541877136,2.4192790333375647,0.029285688801046036,0.492624523180119,0.00596328421931297
RF,F0,503.53588703307224,0.1701898085563885,346.306692404361,0.19637054185205066,1.1035034243466213,0.0005136725258236763,1.1036466538744498,0.0005140910207132419,0.9942822011551319,3.865171723937285e-06,46.9925240999825,1.0708968727650936,0.3015110333411333,0.07328015983401587,0.0613950383508722,0.014921637107313352
