run_name,model,feature_set,seed,rmse,mae,mape_percent,smape_percent,r2,training_seconds,inference_seconds,inference_ms_per_sample,test_rows
LGBM_F0_seed42,LGBM,F0,42,523.7471236330522,339.5201574242136,1.0697261035035739,1.070652165794347,0.9938139804969729,2.289892500033602,0.06176239997148514,0.012576338825388951,4911
LGBM_F0_seed84,LGBM,F0,84,523.7471236330522,339.5201574242136,1.0697261035035739,1.070652165794347,0.9938139804969729,2.327100700000301,0.08396729995729402,0.017097800846526984,4911
LGBM_F0_seed168,LGBM,F0,168,523.7471236330522,339.5201574242136,1.0697261035035739,1.070652165794347,0.9938139804969729,2.4599909000098705,0.07360380003228784,0.014987538186171418,4911
LGBM_F1_seed42,LGBM,F1,42,463.0962907296166,288.698240973737,0.893728933564292,0.8948469991166628,0.9951637294512401,2.5034297999809496,0.0640696000191383,0.013046141319311404,4911
LGBM_F1_seed84,LGBM,F1,84,463.0962907296166,288.698240973737,0.893728933564292,0.8948469991166628,0.9951637294512401,2.2926551999989897,0.06736669997917488,0.013717511704169188,4911
LGBM_F1_seed168,LGBM,F1,168,463.0962907296166,288.698240973737,0.893728933564292,0.8948469991166628,0.9951637294512401,2.4892084000166506,0.06694579997565597,0.013631806144503354,4911
LGBM_F2_seed42,LGBM,F2,42,470.9012415703059,289.16521749004033,0.8899445903547768,0.8912483902495202,0.9949993362381335,2.534292299998924,0.0646161999902688,0.013157442474092607,4911
LGBM_F2_seed84,LGBM,F2,84,470.9012415703059,289.16521749004033,0.8899445903547768,0.8912483902495202,0.9949993362381335,2.8612408000044525,0.09333900001365691,0.019006108738272635,4911
LGBM_F2_seed168,LGBM,F2,168,470.9012415703059,289.16521749004033,0.8899445903547768,0.8912483902495202,0.9949993362381335,2.8212812999845482,0.08094810001784936,0.016483017718967492,4911
LGBM_F3_seed42,LGBM,F3,42,490.672042848197,288.92341056094097,0.8851162868919645,0.8870318890652359,0.9945706153509228,3.2062202999950387,0.08478699997067451,0.017264711865337918,4911
LGBM_F3_seed84,LGBM,F3,84,490.672042848197,288.92341056094097,0.8851162868919645,0.8870318890652359,0.9945706153509228,3.229360400000587,0.09688319999258965,0.01972779474497855,4911
LGBM_F3_seed168,LGBM,F3,168,490.672042848197,288.92341056094097,0.8851162868919645,0.8870318890652359,0.9945706153509228,3.091986499959603,0.07807430002139881,0.01589784158448357,4911
LGBM_F4_seed42,LGBM,F4,42,520.3076379827711,296.81028007809994,0.9029575272094933,0.9057517586806184,0.9938949618005478,3.592977099993732,0.08627469994826242,0.017567644053810307,4911
LGBM_F4_seed84,LGBM,F4,84,520.3076379827711,296.81028007809994,0.9029575272094933,0.9057517586806184,0.9938949618005478,3.431340500013903,0.07790090003982186,0.01586253309709262,4911
LGBM_F4_seed168,LGBM,F4,168,520.3076379827711,296.81028007809994,0.9029575272094933,0.9057517586806184,0.9938949618005478,4.0965070000384,0.0870437000412494,0.017724231325850007,4911
